,Cd,Chuli,Ac,Am
1,0.046821,CK,NI,CK
2,0.046848,CK,NI,CK
3,0.048171,CK,NI,CK
4,0.050198,CK,NI,CK
5,0.053422,CK,NI,CK
6,0.055199,CK,NI,CK
7,0.055601,CK,NI,CK
8,0.055683,CK,NI,CK
9,0.040876,B,NI,B
10,0.041049,B,NI,B
11,0.041343,B,NI,B
12,0.041441,B,NI,B
13,0.042959,B,NI,B
14,0.043497,B,NI,B
15,0.0437,B,NI,B
16,0.044643,B,NI,B
17,0.050366,L,NI,L
18,0.051939,L,NI,L
19,0.052703,L,NI,L
20,0.055805,L,NI,L
21,0.063797,L,NI,L
22,0.06947,L,NI,L
23,0.0721,L,NI,L
24,0.072513,L,NI,L
25,0.030776,Act12,Act12,CK
26,0.032063,Act12,Act12,CK
27,0.032197,Act12,Act12,CK
28,0.03323,Act12,Act12,CK
29,0.033392,Act12,Act12,CK
30,0.034104,Act12,Act12,CK
31,0.035164,Act12,Act12,CK
32,0.035382,Act12,Act12,CK
33,0.056051,Act12B,Act12,B
34,0.056561,Act12B,Act12,B
35,0.057824,Act12B,Act12,B
36,0.05802,Act12B,Act12,B
37,0.058298,Act12B,Act12,B
38,0.058988,Act12B,Act12,B
39,0.059202,Act12B,Act12,B
40,0.060357,Act12B,Act12,B
41,0.047637,Act12L,Act12,L
42,0.048135,Act12L,Act12,L
43,0.052222,Act12L,Act12,L
44,0.053144,Act12L,Act12,L
45,0.053764,Act12L,Act12,L
46,0.054777,Act12L,Act12,L
47,0.055518,Act12L,Act12,L
48,0.055936,Act12L,Act12,L
49,0.052877,D74,D74,CK
50,0.056184,D74,D74,CK
51,0.056784,D74,D74,CK
52,0.059878,D74,D74,CK
53,0.060233,D74,D74,CK
54,0.06067,D74,D74,CK
55,0.06146,D74,D74,CK
56,0.062383,D74,D74,CK
57,0.044514,D74B,D74,B
58,0.04755,D74B,D74,B
59,0.047619,D74B,D74,B
60,0.047844,D74B,D74,B
61,0.048449,D74B,D74,B
62,0.048597,D74B,D74,B
63,0.04871,D74B,D74,B
64,0.050585,D74B,D74,B
65,0.037406,D74L,D74,L
66,0.038895,D74L,D74,L
67,0.041158,D74L,D74,L
68,0.041445,D74L,D74,L
69,0.042196,D74L,D74,L
70,0.042623,D74L,D74,L
71,0.042682,D74L,D74,L
72,0.043574,D74L,D74,L
73,0.078053,Blank,Blank,Blank
74,0.07819,Blank,Blank,Blank
75,0.080889,Blank,Blank,Blank
76,0.086176,Blank,Blank,Blank
77,0.086424,Blank,Blank,Blank
78,0.087726,Blank,Blank,Blank
79,0.087875,Blank,Blank,Blank
80,0.089126,Blank,Blank,Blank
